"Herrstedt","Carina","SD","Stockholms län","1971","Kvinna"
"Hirvonen","Annika","MP","Stockholms län","1989","Kvinna"
"Hjälmered","Lars","M","Göteborgs kommun","1977","Man"
"Hoff","Hans","S","Hallands län","1963","Man"
"Hoffstedt","Gustaf","M","Gotlands län","1974","Man"
"Holm","Christian","M","Värmlands län","1976","Man"
"Holm","Jens","V","Stockholms kommun","1971","Man"
"Holmqvist","Paula","S","Västra Götalands läns norra","1964","Kvinna"
"Hult","Emma","MP","Jönköpings län","1988","Kvinna"
"Hultberg","Johan","M","Kronobergs län","1985","Man"
"Hultqvist","Peter","S","Dalarnas län","1958","Man"
"Håkansson","Per-Arne","S","Skåne läns norra och östra","1963","Man"
"Hägglund","Göran","KD","Hallands län","1959","Man"
"Härstedt","Kent","S","Skåne läns västra","1965","Man"
"Högman","Berit","S","Värmlands län","1958","Kvinna"
"Höj Larsen","Christina","V","Västernorrlands län","1971","Kvinna"
"Jacobsson Gjörtler","Jonas","M","Skåne läns västra","1973","Man"
"Jakobsson","Leif","S","Malmö kommun","1955","Man"
"Jakobsson","Stefan","SD","Västmanlands län","1968","Man"
"Jansson","Eva-Lena","S","Örebro län","1963","Kvinna"
"Jansson","Mikael","SD","Gävleborgs län","1965","Man"
"Jeppsson","Peter","S","Blekinge län","1968","Man"
"Johansson","Anna","S","Göteborgs kommun","1971","Kvinna"
"Johansson","Morgan","S","Skåne läns södra","1970","Man"
"Johansson","Ola","C","Hallands län","1960","Man"
"Johansson","Wiwi-Anne","V","Västra Götalands läns västra","1950","Kvinna"
"Johansson","Ylva","S","Stockholms kommun","1964","Kvinna"
"Johnsson","Per-Ingvar","C","Skåne läns norra och östra","1944","Man"
"Johnsson","Peter","S","Västra Götalands läns norra","1962","Man"
"Johnsson Fornarve","Lotta","V","Södermanlands län","1956","Kvinna"
"Jomshof","Richard","SD","Blekinge län","1969","Man"
"Jonsson","Mattias","S","Göteborgs kommun","1974","Man"
"Juholt","Håkan","S","Kalmar län","1962","Man"
"Juntti","Ellen","M","Västra Götalands läns västra","1958","Kvinna"
"Jämtin","Carin","S","Stockholms kommun","1964","Kvinna"
"Jönsson","Johanna","C","Stockholms kommun","1982","Kvinna"
"Jönsson","Patrik","SD","Skåne läns södra","1972","Man"
"Kakabaveh","Amineh","V","Stockholms kommun","1970","Kvinna"
"Karlsson","Annelie","S","Skåne läns norra och östra","1965","Kvinna"
"Karlsson","Maj","V","Göteborgs kommun","1980","Kvinna"
"Karlsson","Mattias","SD","Värmlands län","1977","Man"
"Karlsson","Niklas","S","Skåne läns västra","1974","Man"
"Karlsson","Sara","S","Södermanlands län","1985","Kvinna"
"Karlsson i Uppsala","Ulrika","M","Uppsala län","1973","Kvinna"
"Kerimo","Yilmaz","S","Stockholms län","1963","Man"
"Kinberg Batra","Anna","M","Stockholms län","1970","Kvinna"
"Kinnunen","Martin","SD","Göteborgs kommun","1983","Man"
"Klarberg","Per","SD","Västra Götalands läns västra","1965","Man"
"Kristersson","Ulf","M","Södermanlands län","1963","Man"
"Kronlid","Julia","SD","Stockholms län","1980","Kvinna"
"Källström","Emil","C","Västernorrlands län","1987","Man"
"Köhler","Katarina","S","Västerbottens län","1954","Kvinna"
"Lahti","Birger","V","Norrbottens län","1964","Man"
"Larsson","Hillevi","S","Malmö kommun","1974","Kvinna"
"Larsson","Jan-Olof","S","Västra Götalands läns västra","1951","Man"
"Larsson","Lars Mejern","S","Värmlands län","1965","Man"
"Larsson","Margareta","SD","Västra Götalands läns östra","1964","Kvinna"
"Larsson","Rikard","S","Skåne läns södra","1966","Man"
"Larsson","Yasmine","S","Skåne läns västra","1988","Kvinna"
"Lavesson","Olof","M","Malmö kommun","1976","Man"
"Lillemets","Annika","MP","Östergötlands län","1962","Kvinna"
"Lindahl","Helena","C","Västerbottens län","1972","Kvinna"
"Linde","Hans","V","Göteborgs kommun","1979","Man"
"Lindestam","Åsa","S","Gävleborgs län","1956","Kvinna"
"Lindholm","Jan","MP","Dalarnas län","1951","Man"
"Lindholm","Veronica","S","Västerbottens län","1984","Kvinna"
"Ling","Rasmus","MP","Malmö kommun","1984","Man"
"Lodenius","Per","C","Stockholms län","1966","Man"
"Lohman","Eva","M","Västernorrlands län","1948","Kvinna"
"Lundgren","Elin","S","Gävleborgs län","1978","Kvinna"
"Lundgren","Kerstin","C","Stockholms län","1955","Kvinna"
"Lundgren","Peter","SD","Östergötlands län","1963","Man"
"Lundh Sammeli","Fredrik","S","Norrbottens län","1977","Man"
"Lundqvist","Patrik","S","Gävleborgs län","1984","Man"
